input_id	dealiased_id	standard_id	short_id
Bienenstock1995	doi:10.1088/0954-898x_6_2_004	doi:10.1088/0954-898x_6_2_004	HjDb1gnq
Ikegaya2004	doi:10.1126/science.1093173	doi:10.1126/science.1093173	Mf6h1KNY
Luczak2015	pmid:26507295	pubmed:26507295	MfmcMsqA
Agus2010	doi:10.1016/j.neuron.2010.04.014	doi:10.1016/j.neuron.2010.04.014	Jzr1gwsr
Grossberger2018	doi:10.1371/journal.pcbi.1006283	doi:10.1371/journal.pcbi.1006283	9AK1cwY1
Russo2017	doi:10.7554/eLife.19428	doi:10.7554/elife.19428	RrgzWOSk
Grün2002	doi:10.1162/089976602753284464	doi:10.1162/089976602753284464	1XpTamcl
Torre2016	10.1371/journal.pcbi.1004939	doi:10.1371/journal.pcbi.1004939	bc9czTxi
Pachitariu2018	doi:10.1523/JNEUROSCI.3339-17.2018	doi:10.1523/jneurosci.3339-17.2018	zc16plUu
Stringer2019nature	doi:10.1038/s41586-019-1346-5	doi:10.1038/s41586-019-1346-5	brg2FFsb
Stringer2019science	doi:10.1126/science.aav7893	doi:10.1126/science.aav7893	1BPHUQLTf
Stringer2021	doi:10.1016/j.cell.2021.03.042	doi:10.1016/j.cell.2021.03.042	1EMs3GS0B
Moser2014	doi:10.1109/TSP.2014.2305642	doi:10.1109/tsp.2014.2305642	LjkTSK3h
Perrinet2002	doi:10.1016/S0925-2312(02)00374-0	doi:10.1016/s0925-2312(02)00374-0	11p3NXmkg
Perrinet2001	doi:10.1016/S0925-2312(01)00460-X	doi:10.1016/s0925-2312(01)00460-x	j5xS3owo
natural	natural	natural	vFdguXD2
